iso_time,pid,uptime_s,pss_kb,native_heap_kb,dalvik_heap_kb,graphics_kb,cpu_pct,proc_name,memfree_kb,cached_kb,swapfree_kb,swap_kb,swappss_kb,pgfault,pgmajfault,pid_changed
NA,2192,12737.97,305376,277340,1931,0,184,jp.co.aecom.beesightm,153368,931236,959648,1260,NA,NA,NA,0
NA,2192,13043.96,310996,280512,1447,0,182,jp.co.aecom.beesightm,148340,931244,959648,1260,NA,NA,NA,0
NA,2192,13347.88,311118,284596,1915,0,182,jp.co.aecom.beesightm,138168,931336,959648,1260,NA,NA,NA,0
NA,2192,13652.00,318241,285896,1939,0,182,jp.co.aecom.beesightm,146796,925012,959480,1296,NA,NA,NA,0
NA,2192,13958.02,322257,292188,1939,0,182,jp.co.aecom.beesightm,142304,925020,959484,1296,NA,NA,NA,0
NA,2192,14263.89,325757,295784,1435,0,182,jp.co.aecom.beesightm,145996,925028,959484,1296,NA,NA,NA,0
NA,2192,14567.89,327330,299868,1895,0,185,jp.co.aecom.beesightm,142536,924404,959388,1324,NA,NA,NA,0
NA,2192,14873.08,332917,303660,831,0,183,jp.co.aecom.beesightm,156152,918840,959168,1388,NA,NA,NA,0
NA,2192,15178.88,338040,307920,1871,0,183,jp.co.aecom.beesightm,190452,895028,957920,1604,NA,NA,NA,0
NA,2192,15483.88,341148,311120,1007,0,182,jp.co.aecom.beesightm,176912,894952,957920,1604,NA,NA,NA,0
NA,2192,15787.94,342180,315140,1467,0,182,jp.co.aecom.beesightm,182020,895704,957920,1604,NA,NA,NA,0
NA,2192,16093.93,348600,318736,1935,0,183,jp.co.aecom.beesightm,185252,895836,957920,1604,NA,NA,NA,0
NA,2192,16398.80,353492,322756,1471,0,181,jp.co.aecom.beesightm,166480,895848,957920,1604,NA,NA,NA,0
NA,2192,16703.77,353200,326552,1891,0,182,jp.co.aecom.beesightm,131516,895944,957920,1604,NA,NA,NA,0
NA,2192,17008.87,360640,330228,1531,0,181,jp.co.aecom.beesightm,170968,890624,957672,1664,NA,NA,NA,0
NA,2192,17313.83,361082,334220,1415,0,181,jp.co.aecom.beesightm,161944,888072,957588,1684,NA,NA,NA,0
NA,2192,17617.80,367210,334524,2007,0,181,jp.co.aecom.beesightm,153180,887816,957588,1684,NA,NA,NA,0
NA,2192,17921.88,371856,341300,1323,0,181,jp.co.aecom.beesightm,166536,866084,956232,1948,NA,NA,NA,0
NA,2192,18227.99,374921,345036,943,0,178,jp.co.aecom.beesightm,148952,865640,956224,1948,NA,NA,NA,0
NA,2192,18532.88,380217,348968,2467,0,181,jp.co.aecom.beesightm,149536,865640,956224,1948,NA,NA,NA,0
NA,2192,18837.77,380828,352812,1435,0,181,jp.co.aecom.beesightm,143680,866612,956232,1948,NA,NA,NA,0
NA,2192,19141.92,386753,356396,1303,0,181,jp.co.aecom.beesightm,140684,863736,956156,1972,NA,NA,NA,0
